	Unnamed: 0	scene_id	raw_text	characters	cOPN	dialog_state	sent	utterance	context	labels	Uttr_EmoBERTa_label	Dialog_EmoBERTa_label
215	215	01_e01_c11(0) 	"[['Paul', ' Yeah. (They kiss) Thank you. (Exits)'], ['Joey Tribbiani', "" That wasn't a real date?! What the hell do you do on a real date?""], ['Monica Geller', ' Shut up, and put my table back.'], ['All', ' Okayyy! (They do so.)'], ['Chandler Bing', "" All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...""], ['Rachel Green', ' So, like, you guys all have jobs?'], ['Monica Geller', "" Yeah, we all have jobs. See, that's how we buy stuff.""], ['Joey Tribbiani', "" Yeah, I'm an actor.""], ['Rachel Green', ' Wow! Would I have seen you in anything?'], ['Joey Tribbiani', ' I doubt it. Mostly regional work.']]"	Rachel Green	False	[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]	 Yeah. (They kiss) Thank you. (Exits) That wasn't a real date?! What the hell do you do on a real date? Shut up, and put my table back. Okayyy! (They do so.) All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference... So, like, you guys all have jobs? Yeah, we all have jobs. See, that's how we buy stuff. Yeah, I'm an actor. Wow! Would I have seen you in anything? I doubt it. Mostly regional work.	  So, like, you guys all have jobs?  Wow! Would I have seen you in anything?	  Yeah. (They kiss) Thank you. (Exits)  That wasn't a real date?! What the hell do you do on a real date?  Shut up, and put my table back.  Okayyy! (They do so.)  All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...  Yeah, we all have jobs. See, that's how we buy stuff.  Yeah, I'm an actor.  I doubt it. Mostly regional work.	0	joy	['neutral', 'joy', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'joy']
216	216	02_e10_c04(1) 	"[['Chandler Bing', ' Bye..... ridiculously dull Bobby.'], ['Monica Geller', ' Oh.... my... God.'], ['Phoebe Buffay', "" It's not that bad.""], ['Monica Geller', ' Not that bad? Did you hear the hammer story?'], ['Phoebe Buffay', "" OK, OK, don't get all squinky.""], ['Rachel Green', ' Maybe it was just the kind of story where you have to be there.'], ['Monica Geller', "" But I'm gonna be there... for the rest of my life. I mean, I can't break up with him. I'm the one who made him quit drinking. He's dull because of me.""], ['Phoebe Buffay', "" Alright, don't say that. He's probably always been dull. You just, you know, set it free. [Russ enters, walking in behind Chandler.]""], ['Russ', ' Hi.'], ['Chandler Bing', ' [turning around] Hey Ross.... bahhhh!'], ['Rachel Green', "" Hi Russ, I've just got two more tables to clean and then we'll go, OK?""], ['Russ', "" OK, I'll just sit here and... uh... chat with your, uh.... friend-type....people. [Phoebe walks up to Rachel, cleaning tables.]""], ['Phoebe Buffay', ' Rachel? Um, hi.'], ['Rachel Green', ' Hi.'], ['Phoebe Buffay', "" OK, so, you know what you're doing, right?""], ['Rachel Green', ' Uhh.... waitressing?'], ['Phoebe Buffay', "" Well, yeah, but... no. I mean, umm... doesn't.... doesn't Russ just remind you of someone?""], ['Rachel Green', ' [looks at him] Huh, Bob Saget?']]"	Rachel Green	False	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]	 Bye..... ridiculously dull Bobby. Oh.... my... God. It's not that bad. Not that bad? Did you hear the hammer story? OK, OK, don't get all squinky. Maybe it was just the kind of story where you have to be there. But I'm gonna be there... for the rest of my life. I mean, I can't break up with him. I'm the one who made him quit drinking. He's dull because of me. Alright, don't say that. He's probably always been dull. You just, you know, set it free. [Russ enters, walking in behind Chandler.] Hi. [turning around] Hey Ross.... bahhhh! Hi Russ, I've just got two more tables to clean and then we'll go, OK? OK, I'll just sit here and... uh... chat with your, uh.... friend-type....people. [Phoebe walks up to Rachel, cleaning tables.] Rachel? Um, hi. Hi. OK, so, you know what you're doing, right? Uhh.... waitressing? Well, yeah, but... no. I mean, umm... doesn't.... doesn't Russ just remind you of someone? [looks at him] Huh, Bob Saget?	  Maybe it was just the kind of story where you have to be there.  Hi Russ, I've just got two more tables to clean and then we'll go, OK?  Hi.  Uhh.... waitressing?  [looks at him] Huh, Bob Saget?	  Bye..... ridiculously dull Bobby.  Oh.... my... God.  It's not that bad.  Not that bad? Did you hear the hammer story?  OK, OK, don't get all squinky.  But I'm gonna be there... for the rest of my life. I mean, I can't break up with him. I'm the one who made him quit drinking. He's dull because of me.  Alright, don't say that. He's probably always been dull. You just, you know, set it free. [Russ enters, walking in behind Chandler.]  Hi.  [turning around] Hey Ross.... bahhhh!  OK, I'll just sit here and... uh... chat with your, uh.... friend-type....people. [Phoebe walks up to Rachel, cleaning tables.]  Rachel? Um, hi.  OK, so, you know what you're doing, right?  Well, yeah, but... no. I mean, umm... doesn't.... doesn't Russ just remind you of someone?	0	joy	['neutral', 'anger', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
217	217	01_e18_c07(0) 	"[['Ross Geller', "" So, you gals wanna hand over your money now? That way, we don't have to go through the formality of actually playing.""], ['Rachel Green', "" Ooooh, that's fine. We'll see who has the last laugh there, monkey boy.""], ['Monica Geller', ' OK, we done with the chit-chat? Are we ready to play some serious poker?'], ['Phoebe Buffay', ' (holding a card and waving it in front of her face) Hey you guys, look, the one-eyed jack follows me wherever I go. (they look at her) Right, OK, serious poker.'], ['Monica Geller', ' Excuse me, where are you going?'], ['Ross Geller', ' Uh... to the bathroom.'], ['Monica Geller', ' Do you want to go to the bathroom, or do you wanna play poker?'], ['Ross Geller', ' I want to go to the bathroom. (exits)']]"	Ross Geller	True	[1, 0, 0, 0, 0, 1, 0, 1]	 So, you gals wanna hand over your money now? That way, we don't have to go through the formality of actually playing. Ooooh, that's fine. We'll see who has the last laugh there, monkey boy. OK, we done with the chit-chat? Are we ready to play some serious poker? (holding a card and waving it in front of her face) Hey you guys, look, the one-eyed jack follows me wherever I go. (they look at her) Right, OK, serious poker. Excuse me, where are you going? Uh... to the bathroom. Do you want to go to the bathroom, or do you wanna play poker? I want to go to the bathroom. (exits)	  So, you gals wanna hand over your money now? That way, we don't have to go through the formality of actually playing.  Uh... to the bathroom.  I want to go to the bathroom. (exits)	  Ooooh, that's fine. We'll see who has the last laugh there, monkey boy.  OK, we done with the chit-chat? Are we ready to play some serious poker?  (holding a card and waving it in front of her face) Hey you guys, look, the one-eyed jack follows me wherever I go. (they look at her) Right, OK, serious poker.  Excuse me, where are you going?  Do you want to go to the bathroom, or do you wanna play poker?	1	neutral	['neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
218	218	01_e01_c15(0) 	"[['Joey Tribbiani', "" I can't believe what I'm hearing here.""], ['Phoebe Buffay', "" (sings) I can't believe what I'm hearing here...""], ['Monica Geller', ' What? I-I said you had a-'], ['Phoebe Buffay', ' (sings) What I said you had...'], ['Monica Geller', ' (to Phoebe) Would you stop?'], ['Phoebe Buffay', ' Oh, was I doing it again?'], ['All', ' Yes!'], ['Monica Geller', "" I said that you had a nice butt, it's just not a great butt.""]]"	Monica Geller	False	[0, 0, 1, 0, 1, 0, 0, 1]	 I can't believe what I'm hearing here. (sings) I can't believe what I'm hearing here... What? I-I said you had a- (sings) What I said you had... (to Phoebe) Would you stop? Oh, was I doing it again? Yes! I said that you had a nice butt, it's just not a great butt.	  What? I-I said you had a-  (to Phoebe) Would you stop?  I said that you had a nice butt, it's just not a great butt.	  I can't believe what I'm hearing here.  (sings) I can't believe what I'm hearing here...  (sings) What I said you had...  Oh, was I doing it again?  Yes!	0	neutral	['neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral']
219	219	02_e11_c05(0) 	"[['Mrs. Green', "" Oh my god, there's an unattractive nude man playing the cello.""], ['Rachel Green', "" Yeah, well just be glad he's not playing a smaller instrument.""], ['Mrs. Green', ' [laughing] You have some life here, sweetie.'], ['Rachel Green', "" I know. And Mom, I realize you and Daddy were upset when I didn't marry Barry and get the big house in the suburbs with all the security and everything, but this is just so much better for me, you know?""], ['Mrs. Green', "" I do. You didn't love Barry. And I've never seen you this happy. I look at you and I think, oh, this is what I want.""], ['Rachel Green', ' For...me.'], ['Mrs. Green', ' Well, not just for you.'], ['Rachel Green', ' Well, what do you mean?'], ['Mrs. Green', "" I'm uh, considering leaving your father.""], ['Monica Geller', ' [entering] All right. Tell me if this is too cute. Lesbian wedding, chicken breasts.'], ['Rachel Green', "" Oh god. I think I'm gonna be sick.""], ['Monica Geller', "" Why? It's not like I'm putting little nipples on them.""], ['Ross Geller', "" And you had no idea they weren't getting along?""], ['Rachel Green', ' None.'], ['Joey Tribbiani', "" They didn't fight a lot?""], ['Rachel Green', "" No! They didn't even talk to each other. God, how was I supposed to know they were having problems?""], ['Phoebe Buffay', "" [Mrs. Adelman's voice] In my day, divorce was not an option.""], ['Joey Tribbiani', "" Hey, look who's up.""], ['Rachel Green', "" I just can't believe this is happening. I mean, when I was little, everybody's parents were getting divorced. I just figured as a grownup I wouldn't have to worry about this.""], ['Monica Geller', "" Is there any chance that you can look at this as flattering? I mean, she's doing it because she wants to be more like you.""], ['Rachel Green', "" Well, then, you know, couldn't she have just copied my haircut?""]]"	Rachel Green	True	[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]	 Oh my god, there's an unattractive nude man playing the cello. Yeah, well just be glad he's not playing a smaller instrument. [laughing] You have some life here, sweetie. I know. And Mom, I realize you and Daddy were upset when I didn't marry Barry and get the big house in the suburbs with all the security and everything, but this is just so much better for me, you know? I do. You didn't love Barry. And I've never seen you this happy. I look at you and I think, oh, this is what I want. For...me. Well, not just for you. Well, what do you mean? I'm uh, considering leaving your father. [entering] All right. Tell me if this is too cute. Lesbian wedding, chicken breasts. Oh god. I think I'm gonna be sick. Why? It's not like I'm putting little nipples on them. And you had no idea they weren't getting along? None. They didn't fight a lot? No! They didn't even talk to each other. God, how was I supposed to know they were having problems? [Mrs. Adelman's voice] In my day, divorce was not an option. Hey, look who's up. I just can't believe this is happening. I mean, when I was little, everybody's parents were getting divorced. I just figured as a grownup I wouldn't have to worry about this. Is there any chance that you can look at this as flattering? I mean, she's doing it because she wants to be more like you. Well, then, you know, couldn't she have just copied my haircut?	  Yeah, well just be glad he's not playing a smaller instrument.  I know. And Mom, I realize you and Daddy were upset when I didn't marry Barry and get the big house in the suburbs with all the security and everything, but this is just so much better for me, you know?  For...me.  Well, what do you mean?  Oh god. I think I'm gonna be sick.  None.  No! They didn't even talk to each other. God, how was I supposed to know they were having problems?  I just can't believe this is happening. I mean, when I was little, everybody's parents were getting divorced. I just figured as a grownup I wouldn't have to worry about this.  Well, then, you know, couldn't she have just copied my haircut?	  Oh my god, there's an unattractive nude man playing the cello.  [laughing] You have some life here, sweetie.  I do. You didn't love Barry. And I've never seen you this happy. I look at you and I think, oh, this is what I want.  Well, not just for you.  I'm uh, considering leaving your father.  [entering] All right. Tell me if this is too cute. Lesbian wedding, chicken breasts.  Why? It's not like I'm putting little nipples on them.  And you had no idea they weren't getting along?  They didn't fight a lot?  [Mrs. Adelman's voice] In my day, divorce was not an option.  Hey, look who's up.  Is there any chance that you can look at this as flattering? I mean, she's doing it because she wants to be more like you.	1	neutral	['neutral', 'neutral', 'anger', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'anger']
220	220	04_e15_c06(0) 	"[['Ross', ' (shocked) Hey!'], ['Phoebe', ' (whispering to Ross) Janice.'], ['Chandler', "" Y'know uh, you didn't really have to help me pack.""], ['Janice', "" Ohh, well when you said all you were going to be doing between now and the time you leave is packing, you didn't really leave me much choice. Did you?""], ['Chandler', ' Well, I-I thought I did but, I-I guess I did not!'], ['Joey', "" Hey-hey, what's going on?""], ['Chandler', "" Oh, I'm packing. Y'know I'm-I'm packing 'cause I'm moving to Yemen tomorrow.""], ['Joey', ' Thanks for telling me!'], ['Chandler', "" I'm only going to pretend I'm moving to Yemen, it's the only way I can get rid off her.""], ['Joey', ' Ohhhh, good one! And Yemen that actually sounds like a real country.'], ['Janice', "" (leaning in from the bedroom) Chandler! Come on, I'm gonna show how to roll up your underwear and stuff it in your shoes. It's a real space saver.""], ['Phoebe', "" Yeah, I know, I do that 'cause it makes me look taller.""], ['Janice', ' Okay, Chandler, come on!'], ['Chandler', ' (to Janice) Okay. (to Joey) Joey, trade lives with me!'], ['Joey', "" Nope. (To Ross) Man look at this! Ross, I can't believe you said you'd play rugby. I mean look how brutal this is!""], ['Ross', ' Hey, I can handle it! All right?'], ['Rachel', ' Please, Ross, you-you got hurt playing badminton with my dad.'], ['Ross', "" That's 'cause-'cause you're mom's dog kept-kept looking at me.""], ['Joey', "" (pointing to the TV) Okay, Ross, look-look-look-look, look right here. That's called a scrum, okay? It's kinda like a huddle.""], ['Ross', ' And is a hum, kinda like a scruddle?'], ['Joey', "" Ross! (Laughs) They're gonna kill you!""]]"	Joey	False	[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]	 (shocked) Hey! (whispering to Ross) Janice. Y'know uh, you didn't really have to help me pack. Ohh, well when you said all you were going to be doing between now and the time you leave is packing, you didn't really leave me much choice. Did you? Well, I-I thought I did but, I-I guess I did not! Hey-hey, what's going on? Oh, I'm packing. Y'know I'm-I'm packing 'cause I'm moving to Yemen tomorrow. Thanks for telling me! I'm only going to pretend I'm moving to Yemen, it's the only way I can get rid off her. Ohhhh, good one! And Yemen that actually sounds like a real country. (leaning in from the bedroom) Chandler! Come on, I'm gonna show how to roll up your underwear and stuff it in your shoes. It's a real space saver. Yeah, I know, I do that 'cause it makes me look taller. Okay, Chandler, come on! (to Janice) Okay. (to Joey) Joey, trade lives with me! Nope. (To Ross) Man look at this! Ross, I can't believe you said you'd play rugby. I mean look how brutal this is! Hey, I can handle it! All right? Please, Ross, you-you got hurt playing badminton with my dad. That's 'cause-'cause you're mom's dog kept-kept looking at me. (pointing to the TV) Okay, Ross, look-look-look-look, look right here. That's called a scrum, okay? It's kinda like a huddle. And is a hum, kinda like a scruddle? Ross! (Laughs) They're gonna kill you!	  Hey-hey, what's going on?  Thanks for telling me!  Ohhhh, good one! And Yemen that actually sounds like a real country.  Nope. (To Ross) Man look at this! Ross, I can't believe you said you'd play rugby. I mean look how brutal this is!  (pointing to the TV) Okay, Ross, look-look-look-look, look right here. That's called a scrum, okay? It's kinda like a huddle.  Ross! (Laughs) They're gonna kill you!	  (shocked) Hey!  (whispering to Ross) Janice.  Y'know uh, you didn't really have to help me pack.  Ohh, well when you said all you were going to be doing between now and the time you leave is packing, you didn't really leave me much choice. Did you?  Well, I-I thought I did but, I-I guess I did not!  Oh, I'm packing. Y'know I'm-I'm packing 'cause I'm moving to Yemen tomorrow.  I'm only going to pretend I'm moving to Yemen, it's the only way I can get rid off her.  (leaning in from the bedroom) Chandler! Come on, I'm gonna show how to roll up your underwear and stuff it in your shoes. It's a real space saver.  Yeah, I know, I do that 'cause it makes me look taller.  Okay, Chandler, come on!  (to Janice) Okay. (to Joey) Joey, trade lives with me!  Hey, I can handle it! All right?  Please, Ross, you-you got hurt playing badminton with my dad.  That's 'cause-'cause you're mom's dog kept-kept looking at me.  And is a hum, kinda like a scruddle?	0	neutral	['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'anger', 'neutral']
221	221	03_e22_c08(0) 	"[['Hold Voice', "" Please stay on the line. You're call is very important to us.""], ['Monica', "" (entering from her bedroom) Pheebs, you've been up for 24 hours! Go to sleep, honey. Th-this isn't healthy.""], ['Phoebe', "" No, no, I'm fine, and y'know why? 'Cause of all the riboflavin.""], ['Joey', ' (entering, happily) Hey!'], ['Monica', "" Hey! Didn't you have that outfit on last night?""], ['Joey', "" Yeah! I stayed at Kate's, but ah, nothing happened. Hey, Pheebs, where were ya?""], ['Phoebe', "" I'm so, so, so sorry, Joey. I definitely am gonna see you're play. I swear you're play is very important to us, thank you for your patience. You're play is the next play is the next play I'm gonna see.""], ['Monica', ' Anyway, how did it go with Kate?'], ['Joey', "" Oh, it was great! Yeah, I-I walked her home, and it was amazing how much we connected, y'know? Then ah, then she passed out, but then she woke up. Yeah? And we stayed up all night talking, and now we're like totally crazy about each other!""], ['Monica', ' Joey, you had the night!'], ['Joey', ' What?'], ['Monica', ' When two people finally realise their feelings for each other, and-and they talk for hours, and they-they learn all about the other person!'], ['Joey', ' You-you think?']]"	Monica	True	[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]	 Please stay on the line. You're call is very important to us. (entering from her bedroom) Pheebs, you've been up for 24 hours! Go to sleep, honey. Th-this isn't healthy. No, no, I'm fine, and y'know why? 'Cause of all the riboflavin. (entering, happily) Hey! Hey! Didn't you have that outfit on last night? Yeah! I stayed at Kate's, but ah, nothing happened. Hey, Pheebs, where were ya? I'm so, so, so sorry, Joey. I definitely am gonna see you're play. I swear you're play is very important to us, thank you for your patience. You're play is the next play is the next play I'm gonna see. Anyway, how did it go with Kate? Oh, it was great! Yeah, I-I walked her home, and it was amazing how much we connected, y'know? Then ah, then she passed out, but then she woke up. Yeah? And we stayed up all night talking, and now we're like totally crazy about each other! Joey, you had the night! What? When two people finally realise their feelings for each other, and-and they talk for hours, and they-they learn all about the other person! You-you think?	  (entering from her bedroom) Pheebs, you've been up for 24 hours! Go to sleep, honey. Th-this isn't healthy.  Hey! Didn't you have that outfit on last night?  Anyway, how did it go with Kate?  Joey, you had the night!  When two people finally realise their feelings for each other, and-and they talk for hours, and they-they learn all about the other person!	  Please stay on the line. You're call is very important to us.  No, no, I'm fine, and y'know why? 'Cause of all the riboflavin.  (entering, happily) Hey!  Yeah! I stayed at Kate's, but ah, nothing happened. Hey, Pheebs, where were ya?  I'm so, so, so sorry, Joey. I definitely am gonna see you're play. I swear you're play is very important to us, thank you for your patience. You're play is the next play is the next play I'm gonna see.  Oh, it was great! Yeah, I-I walked her home, and it was amazing how much we connected, y'know? Then ah, then she passed out, but then she woke up. Yeah? And we stayed up all night talking, and now we're like totally crazy about each other!  What?  You-you think?	1	anger	['neutral', 'neutral', 'neutral', 'neutral', 'joy', 'joy', 'anger', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
222	222	01_e12_c14(1) 	"[['Monica Geller', ' Ooh...hey honey, are you all right?'], ['Rachel Green', ' Oh...'], ['Phoebe Buffay', ' You ok?'], ['Rachel Green', ' ...medium...hmm...any cookies left?'], ['Phoebe Buffay', ' Yep!'], ['Ross Geller', "" See, Rach, uh, see, I don't think that swearing off guys altogether is the answer. I really don't. I think that what you need is to develop a more sophisticated screening process.""], ['Rachel Green', ' No. I just need to be by myself for a while, you know? I just got to figure out what I want'], ['Ross Geller', ' Uh, no, no, see, because not...not all guys are going to be a Paolo.'], ['Rachel Green', "" No, I know, I know, and I'm sure your little boy is not going to grow up to be one.""], ['Ross Geller', ' (astonished) What?'], ['Rachel Green', ' What?'], ['Ross Geller', "" I-I'm, I'm having a boy?""], ['Rachel Green', "" Uh...no. No, no, in fact, you're not having a boy.""], ['Ross Geller', "" Wha-I'm having, I'm having a boy! (babbling) Huh, am I having a boy?""], ['Girls', "" Yes, you're having a boy! (Monica runs over and hugs Ross)""], ['Ross Geller', "" I'm having a boy! Oh, I'm having a boy!""], ['Chandler Bing', ' Wha-'], ['Joey Tribbiani', ' Wha-'], ['Chandler, Joey, Ross', ' What is it?']]"	Ross Geller	False	[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]	 Ooh...hey honey, are you all right? Oh... You ok? ...medium...hmm...any cookies left? Yep! See, Rach, uh, see, I don't think that swearing off guys altogether is the answer. I really don't. I think that what you need is to develop a more sophisticated screening process. No. I just need to be by myself for a while, you know? I just got to figure out what I want Uh, no, no, see, because not...not all guys are going to be a Paolo. No, I know, I know, and I'm sure your little boy is not going to grow up to be one. (astonished) What? What? I-I'm, I'm having a boy? Uh...no. No, no, in fact, you're not having a boy. Wha-I'm having, I'm having a boy! (babbling) Huh, am I having a boy? Yes, you're having a boy! (Monica runs over and hugs Ross) I'm having a boy! Oh, I'm having a boy! Wha- Wha- What is it?	  See, Rach, uh, see, I don't think that swearing off guys altogether is the answer. I really don't. I think that what you need is to develop a more sophisticated screening process.  Uh, no, no, see, because not...not all guys are going to be a Paolo.  (astonished) What?  I-I'm, I'm having a boy?  Wha-I'm having, I'm having a boy! (babbling) Huh, am I having a boy?  I'm having a boy! Oh, I'm having a boy!	  Ooh...hey honey, are you all right?  Oh...  You ok?  ...medium...hmm...any cookies left?  Yep!  No. I just need to be by myself for a while, you know? I just got to figure out what I want  No, I know, I know, and I'm sure your little boy is not going to grow up to be one.  What?  Uh...no. No, no, in fact, you're not having a boy.  Yes, you're having a boy! (Monica runs over and hugs Ross)  Wha-  Wha-  What is it?	0	neutral	['neutral', 'neutral', 'neutral', 'neutral', 'joy', 'anger', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'joy', 'neutral', 'neutral', 'joy', 'neutral']
223	223	04_e23_c02(0) 	"[['Monica', "" Okay, if you need the vacuum, it's in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator...""], ['Phoebe', "" Okay, okay, but Rachel's gonna be here too, can't I just ask her this stuff?""], ['Monica', ' Yeah, okay, give that a try!'], ['Chandler', "" (entering, with Joey) All right! Let's do it!""], ['Joey', ' Woo-hoo!!'], ['Ross', ' Yeah, cheerie-o!'], ['Joey', ' London baby!'], ['Chandler', "" Okay, 'cause that's not gonna get annoying.""], ['Joey', ' (louder) London baby!!'], ['Chandler', "" Hey, y'know what? I was wrong.""]]"	Chandler	True	[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]	 Okay, if you need the vacuum, it's in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator... Okay, okay, but Rachel's gonna be here too, can't I just ask her this stuff? Yeah, okay, give that a try! (entering, with Joey) All right! Let's do it! Woo-hoo!! Yeah, cheerie-o! London baby! Okay, 'cause that's not gonna get annoying. (louder) London baby!! Hey, y'know what? I was wrong.	  (entering, with Joey) All right! Let's do it!  Okay, 'cause that's not gonna get annoying.  Hey, y'know what? I was wrong.	  Okay, if you need the vacuum, it's in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator...  Okay, okay, but Rachel's gonna be here too, can't I just ask her this stuff?  Yeah, okay, give that a try!  Woo-hoo!!  Yeah, cheerie-o!  London baby!  (louder) London baby!!	1	anger	['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
224	224	01_e04_c12(0) 	"[['Monica Geller', ' Light still out?'], ['Rachel Green', ' Yeah.'], ['Monica Geller', "" Oh. Maybe they're- napping.""], ['Rachel Green', "" Oh please, they're having sex.""]]"	Rachel Green	False	[0, 1, 0, 1]	 Light still out? Yeah. Oh. Maybe they're- napping. Oh please, they're having sex.	  Yeah.  Oh please, they're having sex.	  Light still out?  Oh. Maybe they're- napping.	0	joy	['neutral', 'neutral', 'neutral', 'neutral']
225	225	03_e03_c08(0) 	"[['Rachel', "" Honey, I'm sorry, but he's right. I love you, but you're crazy.""], ['Ross', ' Crazy.'], ['Monica', "" What?! Why? Why is this crazy? So this isn't the ideal way to something....""], ['Ross', "" (interrupting her) Oh, it's not the ideal way...""], ['Monica', "" Lips moving, still talking. I mean it may not be ideal, but I'm so ready. No, I-I-I see the way Ben looks at you. It makes me ache, you know?""], ['Joey', ' Check it out!! Jam crackers!'], ['Monica', "" Okay, all right, how's this? 27. Italian-American guy. He's an actor, born in Queens. Wow, big family, seven sisters, and he's the only....boy. Oh my God, under personal comments 'New York Knicks, rule!'""], ['Joey', ' Yeah, the Knicks rule!'], ['Monica', ' Joey, this is you!'], ['Joey', ' Let me see. (goes over and looks at the form) Oh, right.'], ['Rachel', ' When did you go to a sperm bank?'], ['Joey', ' Well, right after I did that sex study down at NYU. (to Chandler) Hey, Remember that sweater I gave you for your birthday?'], ['Chandler', "" And that's how you bought it?""], ['Joey', "" Noooo, that's what I was wearing when I donated. I'm kinda surprised there's any of my boys left.""], ['Monica', "" Well, honey, it is pretty competitive. I mean I've got an actual rocket scientist here.""], ['Joey', "" Maybe, I should call this place and get them to put my 'Days of Our Lives' on here. You know, juice this puppy up a little.""]]"	Joey	True	[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]	 Honey, I'm sorry, but he's right. I love you, but you're crazy. Crazy. What?! Why? Why is this crazy? So this isn't the ideal way to something.... (interrupting her) Oh, it's not the ideal way... Lips moving, still talking. I mean it may not be ideal, but I'm so ready. No, I-I-I see the way Ben looks at you. It makes me ache, you know? Check it out!! Jam crackers! Okay, all right, how's this? 27. Italian-American guy. He's an actor, born in Queens. Wow, big family, seven sisters, and he's the only....boy. Oh my God, under personal comments 'New York Knicks, rule!' Yeah, the Knicks rule! Joey, this is you! Let me see. (goes over and looks at the form) Oh, right. When did you go to a sperm bank? Well, right after I did that sex study down at NYU. (to Chandler) Hey, Remember that sweater I gave you for your birthday? And that's how you bought it? Noooo, that's what I was wearing when I donated. I'm kinda surprised there's any of my boys left. Well, honey, it is pretty competitive. I mean I've got an actual rocket scientist here. Maybe, I should call this place and get them to put my 'Days of Our Lives' on here. You know, juice this puppy up a little.	  Check it out!! Jam crackers!  Yeah, the Knicks rule!  Let me see. (goes over and looks at the form) Oh, right.  Well, right after I did that sex study down at NYU. (to Chandler) Hey, Remember that sweater I gave you for your birthday?  Noooo, that's what I was wearing when I donated. I'm kinda surprised there's any of my boys left.  Maybe, I should call this place and get them to put my 'Days of Our Lives' on here. You know, juice this puppy up a little.	  Honey, I'm sorry, but he's right. I love you, but you're crazy.  Crazy.  What?! Why? Why is this crazy? So this isn't the ideal way to something....  (interrupting her) Oh, it's not the ideal way...  Lips moving, still talking. I mean it may not be ideal, but I'm so ready. No, I-I-I see the way Ben looks at you. It makes me ache, you know?  Okay, all right, how's this? 27. Italian-American guy. He's an actor, born in Queens. Wow, big family, seven sisters, and he's the only....boy. Oh my God, under personal comments 'New York Knicks, rule!'  Joey, this is you!  When did you go to a sperm bank?  And that's how you bought it?  Well, honey, it is pretty competitive. I mean I've got an actual rocket scientist here.	1	neutral	['neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']
