	Speaker_1	Speaker_2	Utterance_1	Utterance_2	Utterance_3	Emotion_1	Emotion_2	Emotion_3	dialog_state	labels	utterance	context	sent	emo_label	raw_text
22	Ross	Rachel	Hi!	What are you doing here?	Ah y'know, this building is on my paper route so I...	joy	surprise	neutral	[1, 0, 1]	0	Hi! Ah y'know, this building is on my paper route so I...	What are you doing here?	Hi! What are you doing here? Ah y'know, this building is on my paper route so I...	['joy', 'surprise', 'neutral']	"[['Ross', 'Hi!'], ['Rachel', 'What are you doing here?'], ['Ross', ""Ah y'know, this building is on my paper route so I...""]]"
23	Rachel	Ross	What are you doing here?	Ah y'know, this building is on my paper route so I...	Oh.	surprise	neutral	neutral	[1, 0, 1]	0	What are you doing here? Oh.	Ah y'know, this building is on my paper route so I...	What are you doing here? Ah y'know, this building is on my paper route so I... Oh.	['surprise', 'neutral', 'neutral']	"[['Rachel', 'What are you doing here?'], ['Ross', ""Ah y'know, this building is on my paper route so I...""], ['Rachel', 'Oh.']]"
24	Ross	Rachel	Ah y'know, this building is on my paper route so I...	Oh.	Hi.	neutral	neutral	neutral	[1, 0, 1]	0	Ah y'know, this building is on my paper route so I... Hi.	Oh.	Ah y'know, this building is on my paper route so I... Oh. Hi.	['neutral', 'neutral', 'neutral']	"[['Ross', ""Ah y'know, this building is on my paper route so I...""], ['Rachel', 'Oh.'], ['Ross', 'Hi.']]"
25	Rachel	Ross	Oh.	Hi.	Hi.	neutral	neutral	neutral	[1, 0, 1]	0	Oh. Hi.	Hi.	Oh. Hi. Hi.	['neutral', 'neutral', 'neutral']	[['Rachel', 'Oh.'], ['Ross', 'Hi.'], ['Rachel', 'Hi.']]
26	Ross	Rachel	Hi.	Hi.	How d did it go?	neutral	neutral	neutral	[1, 0, 1]	0	Hi. How d did it go?	Hi.	Hi. Hi. How d did it go?	['neutral', 'neutral', 'neutral']	[['Ross', 'Hi.'], ['Rachel', 'Hi.'], ['Ross', 'How d did it go?']]
27	Rachel	Ross	Hi.	How d did it go?	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	neutral	neutral	joy	[1, 0, 1]	0	Hi. Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	How d did it go?	Hi. How d did it go? Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	['neutral', 'neutral', 'joy']	"[['Rachel', 'Hi.'], ['Ross', 'How d did it go?'], ['Rachel', ""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.""]]"
28	Ross	Rachel	How d did it go?	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	I m so proud of you.	neutral	joy	joy	[1, 0, 1]	0	How d did it go? I m so proud of you.	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	How d did it go? Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up. I m so proud of you.	['neutral', 'joy', 'joy']	"[['Ross', 'How d did it go?'], ['Rachel', ""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.""], ['Ross', 'I m so proud of you.']]"
29	Rachel	Ross	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.	I m so proud of you.	Me too!	joy	joy	joy	[1, 0, 1]	0	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up. Me too!	I m so proud of you.	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up. I m so proud of you. Me too!	['joy', 'joy', 'joy']	"[['Rachel', ""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.""], ['Ross', 'I m so proud of you.'], ['Rachel', 'Me too!']]"
30	Ross	Rachel	I m so proud of you.	Me too!	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	joy	joy	sadness	[1, 0, 1]	0	I m so proud of you. Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	Me too!	I m so proud of you. Me too! Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	['joy', 'joy', 'sadness']	[['Ross', 'I m so proud of you.'], ['Rachel', 'Me too!'], ['Ross', 'Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...']]
31	Rachel	Ross	Me too!	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	I know.	joy	sadness	neutral	[1, 0, 1]	0	Me too! I know.	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	Me too! Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so... I know.	['joy', 'sadness', 'neutral']	[['Rachel', 'Me too!'], ['Ross', 'Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...'], ['Rachel', 'I know.']]
32	Ross	Rachel	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...	I know.	Yeah.	sadness	neutral	neutral	[1, 0, 1]	0	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so... Yeah.	I know.	Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so... I know. Yeah.	['sadness', 'neutral', 'neutral']	[['Ross', 'Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...'], ['Rachel', 'I know.'], ['Ross', 'Yeah.']]
33	Rachel	Ross	I know.	Yeah.	Yeah.	neutral	neutral	neutral	[1, 0, 1]	0	I know. Yeah.	Yeah.	I know. Yeah. Yeah.	['neutral', 'neutral', 'neutral']	[['Rachel', 'I know.'], ['Ross', 'Yeah.'], ['Rachel', 'Yeah.']]
34	Phoebe	Joey	Ameri-can.	Ameri-ccan.	Ameri-can. Y'know it s a	neutral	neutral	neutral	[1, 0, 1]	0	Ameri-can. Ameri-can. Y'know it s a	Ameri-ccan.	Ameri-can. Ameri-ccan. Ameri-can. Y'know it s a	['neutral', 'neutral', 'neutral']	"[['Phoebe', 'Ameri-can.'], ['Joey', 'Ameri-ccan.'], ['Phoebe', ""Ameri-can. Y'know it s a""]]"
35	Chandler	Joey	Good job Joe! Well done! Top notch!	You liked it? You really liked it?	Oh-ho-ho, yeah!	joy	surprise	joy	[1, 0, 1]	0	Good job Joe! Well done! Top notch! Oh-ho-ho, yeah!	You liked it? You really liked it?	Good job Joe! Well done! Top notch! You liked it? You really liked it? Oh-ho-ho, yeah!	['joy', 'surprise', 'joy']	[['Chandler', 'Good job Joe! Well done! Top notch!'], ['Joey', 'You liked it? You really liked it?'], ['Chandler', 'Oh-ho-ho, yeah!']]
36	Joey	Chandler	You liked it? You really liked it?	Oh-ho-ho, yeah!	Which part exactly?	surprise	joy	neutral	[1, 0, 1]	1	You liked it? You really liked it? Which part exactly?	Oh-ho-ho, yeah!	You liked it? You really liked it? Oh-ho-ho, yeah! Which part exactly?	['surprise', 'joy', 'neutral']	[['Joey', 'You liked it? You really liked it?'], ['Chandler', 'Oh-ho-ho, yeah!'], ['Joey', 'Which part exactly?']]
37	Chandler	Joey	Oh-ho-ho, yeah!	Which part exactly?	The whole thing! Can we go?	joy	neutral	neutral	[1, 0, 1]	0	Oh-ho-ho, yeah! The whole thing! Can we go?	Which part exactly?	Oh-ho-ho, yeah! Which part exactly? The whole thing! Can we go?	['joy', 'neutral', 'neutral']	[['Chandler', 'Oh-ho-ho, yeah!'], ['Joey', 'Which part exactly?'], ['Chandler', 'The whole thing! Can we go?']]
38	Joey	Chandler	Which part exactly?	The whole thing! Can we go?	Oh no-no-no, give me some specifics.	neutral	neutral	anger	[1, 0, 1]	1	Which part exactly? Oh no-no-no, give me some specifics.	The whole thing! Can we go?	Which part exactly? The whole thing! Can we go? Oh no-no-no, give me some specifics.	['neutral', 'neutral', 'anger']	[['Joey', 'Which part exactly?'], ['Chandler', 'The whole thing! Can we go?'], ['Joey', 'Oh no-no-no, give me some specifics.']]
39	Chandler	Joey	The whole thing! Can we go?	Oh no-no-no, give me some specifics.	I love the specifics, the specifics were the best part!	neutral	anger	joy	[1, 0, 1]	0	The whole thing! Can we go? I love the specifics, the specifics were the best part!	Oh no-no-no, give me some specifics.	The whole thing! Can we go? Oh no-no-no, give me some specifics. I love the specifics, the specifics were the best part!	['neutral', 'anger', 'joy']	[['Chandler', 'The whole thing! Can we go?'], ['Joey', 'Oh no-no-no, give me some specifics.'], ['Chandler', 'I love the specifics, the specifics were the best part!']]
40	Joey	Chandler	Oh no-no-no, give me some specifics.	I love the specifics, the specifics were the best part!	Hey, what about the scene with the kangaroo? Did-did you like that part?	anger	joy	neutral	[1, 0, 1]	1	Oh no-no-no, give me some specifics. Hey, what about the scene with the kangaroo? Did-did you like that part?	I love the specifics, the specifics were the best part!	Oh no-no-no, give me some specifics. I love the specifics, the specifics were the best part! Hey, what about the scene with the kangaroo? Did-did you like that part?	['anger', 'joy', 'neutral']	[['Joey', 'Oh no-no-no, give me some specifics.'], ['Chandler', 'I love the specifics, the specifics were the best part!'], ['Joey', 'Hey, what about the scene with the kangaroo? Did-did you like that part?']]
41	Chandler	Joey	I love the specifics, the specifics were the best part!	Hey, what about the scene with the kangaroo? Did-did you like that part?	I was surprised to see a kangaroo in a World War I epic.	joy	neutral	surprise	[1, 0, 1]	0	I love the specifics, the specifics were the best part! I was surprised to see a kangaroo in a World War I epic.	Hey, what about the scene with the kangaroo? Did-did you like that part?	I love the specifics, the specifics were the best part! Hey, what about the scene with the kangaroo? Did-did you like that part? I was surprised to see a kangaroo in a World War I epic.	['joy', 'neutral', 'surprise']	[['Chandler', 'I love the specifics, the specifics were the best part!'], ['Joey', 'Hey, what about the scene with the kangaroo? Did-did you like that part?'], ['Chandler', 'I was surprised to see a kangaroo in a World War I epic.']]
42	Joey	Chandler	Hey, what about the scene with the kangaroo? Did-did you like that part?	I was surprised to see a kangaroo in a World War I epic.	You fell asleep!!	neutral	surprise	anger	[1, 0, 1]	1	Hey, what about the scene with the kangaroo? Did-did you like that part? You fell asleep!!	I was surprised to see a kangaroo in a World War I epic.	Hey, what about the scene with the kangaroo? Did-did you like that part? I was surprised to see a kangaroo in a World War I epic. You fell asleep!!	['neutral', 'surprise', 'anger']	[['Joey', 'Hey, what about the scene with the kangaroo? Did-did you like that part?'], ['Chandler', 'I was surprised to see a kangaroo in a World War I epic.'], ['Joey', 'You fell asleep!!']]
43	Chandler	Customer	Okay, that s enough honey!	I don t know.  Let me see the ring.	Great! Okay, here.	neutral	neutral	joy	[1, 0, 1]	0	Okay, that s enough honey! Great! Okay, here.	I don t know.  Let me see the ring.	Okay, that s enough honey! I don t know.  Let me see the ring. Great! Okay, here.	['neutral', 'neutral', 'joy']	[['Chandler', 'Okay, that s enough honey!'], ['Customer', 'I don t know.  Let me see the ring.'], ['Chandler', 'Great! Okay, here.']]
44	Chandler	Customer	Great! Okay, here.	All right.	Thank you. Thank you. Thank you!  And	joy	neutral	joy	[1, 0, 1]	0	Great! Okay, here. Thank you. Thank you. Thank you!  And	All right.	Great! Okay, here. All right. Thank you. Thank you. Thank you!  And	['joy', 'neutral', 'joy']	[['Chandler', 'Great! Okay, here.'], ['Customer', 'All right.'], ['Chandler', 'Thank you. Thank you. Thank you!  And']]
45	Chandler	Ross	Can you hold on a moment? I have another call.  I love her.	I know.	I'm back.	joy	neutral	neutral	[1, 0, 1]	0	Can you hold on a moment? I have another call.  I love her. I'm back.	I know.	Can you hold on a moment? I have another call.  I love her. I know. I'm back.	['joy', 'neutral', 'neutral']	"[['Chandler', 'Can you hold on a moment? I have another call.  I love her.'], ['Ross', 'I know.'], ['Chandler', ""I'm back.""]]"
46	Chandler	Jade	I'm back.	So, are we gonna get together or what?	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	neutral	neutral	neutral	[1, 0, 1]	0	I'm back. Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	So, are we gonna get together or what?	I'm back. So, are we gonna get together or what? Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	['neutral', 'neutral', 'neutral']	"[['Chandler', ""I'm back.""], ['Jade', 'So, are we gonna get together or what?'], ['Chandler', ""Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?""]]"
47	Chandler	Jade	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	Great, I'll see you then.	Ok.  Ok. Having a phone has finally paid off.	neutral	neutral	joy	[1, 0, 1]	0	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish? Ok.  Ok. Having a phone has finally paid off.	Great, I'll see you then.	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish? Great, I'll see you then. Ok.  Ok. Having a phone has finally paid off.	['neutral', 'neutral', 'joy']	"[['Chandler', ""Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?""], ['Jade', ""Great, I'll see you then.""], ['Chandler', 'Ok.  Ok. Having a phone has finally paid off.']]"
48	Chandler	Ross	Ok.  Ok. Having a phone has finally paid off.	"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	joy	neutral	neutral	[1, 0, 1]	0	Ok.  Ok. Having a phone has finally paid off. I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""	"Ok.  Ok. Having a phone has finally paid off. Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."" I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table."	['joy', 'neutral', 'neutral']	"[['Chandler', 'Ok.  Ok. Having a phone has finally paid off.'], ['Ross', 'Even though you do do a good Bob impression, I\'m thinkin\' when she sees you tomorow, she\'s probably gonna realize, ""Hey, you\'re not Bob.""'], ['Chandler', ""I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.""]]"
49	Ross	Chandler	"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	Oh my god. You are pure evil.	neutral	neutral	disgust	[1, 0, 1]	0	"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."" Oh my god. You are pure evil."	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."" I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table. Oh my god. You are pure evil."	['neutral', 'neutral', 'disgust']	"[['Ross', 'Even though you do do a good Bob impression, I\'m thinkin\' when she sees you tomorow, she\'s probably gonna realize, ""Hey, you\'re not Bob.""'], ['Chandler', ""I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.""], ['Ross', 'Oh my god. You are pure evil.']]"
50	Chandler	Ross	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	Oh my god. You are pure evil.	Ok, pure evil , horny and alone . I've done this	neutral	disgust	anger	[1, 0, 1]	0	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table. Ok, pure evil , horny and alone . I've done this	Oh my god. You are pure evil.	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table. Oh my god. You are pure evil. Ok, pure evil , horny and alone . I've done this	['neutral', 'disgust', 'anger']	"[['Chandler', ""I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.""], ['Ross', 'Oh my god. You are pure evil.'], ['Chandler', ""Ok, pure evil , horny and alone . I've done this""]]"
51	Ross	Monica	This is my wedding.	All right, y know what? We really are late! Let s go! Let s go! Let s go!!	Fine. You ll-you ll watch it on video when we get back.	neutral	anger	neutral	[1, 0, 1]	0	This is my wedding. Fine. You ll-you ll watch it on video when we get back.	All right, y know what? We really are late! Let s go! Let s go! Let s go!!	This is my wedding. All right, y know what? We really are late! Let s go! Let s go! Let s go!! Fine. You ll-you ll watch it on video when we get back.	['neutral', 'anger', 'neutral']	[['Ross', 'This is my wedding.'], ['Monica', 'All right, y know what? We really are late! Let s go! Let s go! Let s go!!'], ['Ross', 'Fine. You ll-you ll watch it on video when we get back.']]
